Date,Rh1,Rh2,Tmax,Tmin,Rainfall
5/18/2000,82,59.9,31,19.9,5.4
5/19/2000,78.8,50.3,30.1,17.1,0
5/20/2000,96.2,73.3,25.5,17.7,T
5/21/2000,84.9,82.9,26.4,18.3,T
5/22/2000,76.1,75.8,27.4,17.8,T
5/23/2000,75.3,87.8,28.1,18,2.8
5/24/2000,94.6,71,27,18.5,3
5/25/2000,95.5,69.6,28.1,19.7,19.5
5/26/2000,91.5,69,27.4,20.1,16.6
5/27/2000,80.1,69.8,28.8,18.4,12.2
5/28/2000,91,68.4,28.5,17.7,T
5/29/2000,84.1,72.5,29.6,18.5,3.2
5/30/2000,90.9,65.4,25.4,16.7,T
5/31/2000,83.2,78.9,25,18.4,0.5
6/1/2000,84.5,68.2,27.5,18.3,T
6/2/2000,83.2,89.9,29.6,18.4,0
6/3/2000,79.4,66.1,31.3,19.5,8.4
6/4/2000,81.7,62.2,30.5,20,10.9
6/5/2000,72.4,65.2,30.4,18.3,6.6
6/6/2000,91.3,76.3,26,19.5,4.9
6/7/2000,93.7,74.5,24,19.3,0.6
6/8/2000,88.8,85.4,27.5,19.6,T
6/9/2000,89.8,81.1,27,19.4,T
6/10/2000,82.2,74.4,28.8,20.3,11.2
6/11/2000,85.4,67.9,30.7,20,54
6/12/2000,77.4,61,29.4,20.8,0
6/13/2000,76.8,56.6,30.8,19,2.8
6/14/2000,72.9,74.3,30,20,17.1
6/15/2000,91.6,91.5,28.5,21.1,34.2
6/16/2000,87.3,85.5,29.5,20.3,2.4
6/17/2000,83.9,100,29.8,20.5,0.5
6/18/2000,88.3,89.8,30.5,19.8,3.2
6/19/2000,89.8,75.4,29.5,19,17.4
6/20/2000,83.9,75.4,29.6,20,5.4
6/21/2000,79,90,30.6,20.5,15.7
6/22/2000,84.5,94.7,26.4,20.2,1
6/23/2000,91.3,76.4,29,18.8,1
6/24/2000,86.7,72.1,26.7,19.7,5.6
6/25/2000,80.7,91.4,29.8,19.3,2.7
6/26/2000,80.9,69.6,29.3,19.5,16.2
6/27/2000,90.3,81.9,29.6,20.4,T
6/28/2000,80.6,83.9,29.5,20.2,2.4
6/29/2000,81.9,77,29.5,20.6,8.7
6/30/2000,88.1,77.7,28.4,20.2,17.5
7/1/2000,90.5,76.8,26.7,18.8,28
7/2/2000,87.1,70.2,28.7,20,T
7/3/2000,86.6,77.2,29.1,20.4,1
7/4/2000,85.9,64.6,29.4,20,2.6
7/5/2000,82.7,67.8,31.2,19.5,45.6
7/6/2000,96.5,83.7,23.8,20.5,0.4
7/7/2000,82.2,74.4,28.6,20.5,4.2
7/8/2000,83.7,71,29.7,19,8.8
7/9/2000,80.3,82.3,29.7,20.4,3.8
7/10/2000,84,82.1,29.7,20.5,0.4
7/11/2000,94.9,77.1,29.6,20,T
7/12/2000,86.9,77.1,30.8,20.9,5.8
7/13/2000,82.9,82.5,29.8,21,T
7/14/2000,78.7,75.1,30.3,20.4,9.6
7/15/2000,87.2,83.6,29.6,20.4,17.6
7/16/2000,88.4,75.3,29.3,20,59.6
7/17/2000,87.8,77.6,30.4,19.8,13.6
7/18/2000,94.9,77.3,29,20,T
7/19/2000,76.9,75.2,30,19.6,96.4
7/20/2000,72.8,70.5,29.5,20.4,43.8
